run,cell,arm,alpha,beta,rate_req_s,git_commit,router_image,seed,ok,errors,error_rate,ttft_mean,ttft_p50,ttft_p90,ttft_p95,ttft_p99,itl_p50,itl_p95,itl_p99,e2e_mean,e2e_p95,e2e_p99,throughput_req_s,throughput_tok_s,imbalance
20260803-210741-loadaware-b0.1,loadaware-b0.1,loadaware,1.0,0.1,10.5,97a666ec3585,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,3,500,0,0.0,0.2077,0.2028,0.2749,0.2976,0.3365,nan,nan,nan,3.2344,4.8649,4.9977,10.0325,642.0795,1.3471
20260803-210741-loadaware-b0.1,loadaware-b0.1,loadaware,1.0,0.1,10.5,97a666ec3585,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,4,500,0,0.0,0.2077,0.1912,0.2857,0.3157,0.5323,nan,nan,nan,3.0096,3.9244,4.0934,9.0831,581.3208,1.3417
20260803-210741-loadaware-b0.1,loadaware-b0.1,loadaware,1.0,0.1,10.5,97a666ec3585,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,5,499,1,0.002,0.2135,0.2036,0.2869,0.326,0.4264,nan,nan,nan,3.2676,4.9563,5.3368,9.7274,622.5533,1.2868
20260803-210741-loadaware-b0.1,loadaware-b0.1,loadaware,1.0,0.1,10.5,97a666ec3585,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,6,499,1,0.002,0.1871,0.1821,0.2422,0.2675,0.2945,nan,nan,nan,3.0323,3.9895,4.1555,9.4666,605.8647,1.3554
20260803-210741-loadaware-b0.1,loadaware-b0.1,loadaware,1.0,0.1,10.5,97a666ec3585,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,7,500,0,0.0,0.2044,0.1952,0.2702,0.3052,0.3607,nan,nan,nan,3.3547,4.7393,4.8881,10.2683,657.1681,1.2868
20260803-210741-loadaware-b0.1,loadaware-b0.1,loadaware,1.0,0.1,10.5,97a666ec3585,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,8,500,0,0.0,0.1851,0.1768,0.2424,0.2651,0.3713,nan,nan,nan,2.9438,3.955,4.1827,9.2907,594.6062,1.4158
20260803-210741-loadaware-b0.1,loadaware-b0.1,loadaware,1.0,0.1,10.5,97a666ec3585,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,9,500,0,0.0,0.214,0.1939,0.2805,0.3205,0.7718,nan,nan,nan,3.4217,4.9579,5.6505,9.859,630.9761,1.2319
20260803-210741-loadaware-b0.1,loadaware-b0.1,loadaware,1.0,0.1,10.5,97a666ec3585,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,10,499,1,0.002,0.1917,0.1828,0.2501,0.2792,0.3529,nan,nan,nan,3.1793,4.8647,5.2143,9.6992,620.7473,1.145
20260803-212450-kvaware,kvaware,kvaware,,,10.5,97a666ec3585,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,1,499,1,0.002,0.1957,0.1903,0.2717,0.2967,0.3669,nan,nan,nan,2.7671,4.3442,4.6612,9.8761,632.0677,1.4639
20260803-212450-kvaware,kvaware,kvaware,,,10.5,97a666ec3585,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,2,499,1,0.002,0.2071,0.1988,0.2779,0.2998,0.3717,nan,nan,nan,3.0553,4.1314,4.4276,9.6506,617.6401,1.8298
20260803-212450-kvaware,kvaware,kvaware,,,10.5,97a666ec3585,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,3,500,0,0.0,0.2683,0.2355,0.4179,0.4668,0.6902,nan,nan,nan,4.9774,10.0692,10.5697,10.0649,644.1559,3.6237
20260803-212450-kvaware,kvaware,kvaware,,,10.5,97a666ec3585,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,4,499,1,0.002,0.1992,0.1894,0.2697,0.3029,0.3523,nan,nan,nan,2.9098,4.3022,5.2059,9.126,584.0671,1.5
20260803-212450-kvaware,kvaware,kvaware,,,10.5,97a666ec3585,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,5,499,1,0.002,0.2195,0.2085,0.3075,0.3412,0.4263,nan,nan,nan,3.4567,5.3092,6.0795,9.8146,628.1343,1.6847
20260803-212450-kvaware,kvaware,kvaware,,,10.5,97a666ec3585,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,6,499,1,0.002,0.2018,0.1949,0.2694,0.2865,0.3325,nan,nan,nan,2.9256,3.6402,3.7624,9.4656,605.8005,1.8247
20260803-212450-kvaware,kvaware,kvaware,,,10.5,97a666ec3585,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,7,499,1,0.002,0.2557,0.2209,0.3747,0.443,0.7786,nan,nan,nan,3.8279,8.8076,8.9944,10.406,665.9814,1.1918
20260803-212450-kvaware,kvaware,kvaware,,,10.5,97a666ec3585,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,8,499,1,0.002,0.1999,0.1924,0.2635,0.284,0.3213,nan,nan,nan,3.0334,3.8345,4.0974,9.2009,588.8557,2.046
20260803-212450-kvaware,kvaware,kvaware,,,10.5,97a666ec3585,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,9,499,1,0.002,0.2144,0.2045,0.2951,0.3363,0.4036,nan,nan,nan,3.2866,4.7205,5.4428,9.9495,636.7708,1.1549
20260803-212450-kvaware,kvaware,kvaware,,,10.5,97a666ec3585,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,10,499,1,0.002,0.2103,0.2032,0.2803,0.3042,0.3537,nan,nan,nan,3.3182,4.3986,4.5768,9.8328,629.3012,1.95
